,dj
1754-08-30 22:43:41.128654848,3651.0
1754-08-31 22:43:41.128654848,3645.0
1754-09-01 22:43:41.128654848,3626.0
1754-09-02 22:43:41.128654848,3634.0
1754-09-03 22:43:41.128654848,3620.5
1754-09-04 22:43:41.128654848,3607.0
1754-09-05 22:43:41.128654848,3589.0
1754-09-06 22:43:41.128654848,3590.0
1754-09-07 22:43:41.128654848,3622.0
1754-09-08 22:43:41.128654848,3634.0
1754-09-09 22:43:41.128654848,3616.0
1754-09-10 22:43:41.128654848,3634.0
1754-09-11 22:43:41.128654848,3631.0
1754-09-12 22:43:41.128654848,3613.0
1754-09-13 22:43:41.128654848,3576.0
1754-09-14 22:43:41.128654848,3537.0
1754-09-15 22:43:41.128654848,3547.0
1754-09-16 22:43:41.128654848,3540.0
1754-09-17 22:43:41.128654848,3543.0
1754-09-18 22:43:41.128654848,3568.0
1754-09-19 22:43:41.128654848,3566.0
1754-09-20 22:43:41.128654848,3566.0
1754-09-21 22:43:41.128654848,3555.0
1754-09-22 22:43:41.128654848,3581.0
1754-09-23 22:43:41.128654848,3578.0
1754-09-24 22:43:41.128654848,3587.0
1754-09-25 22:43:41.128654848,3599.0
1754-09-26 22:43:41.128654848,3584.0
1754-09-27 22:43:41.128654848,3585.0
1754-09-28 22:43:41.128654848,3593.0
1754-09-29 22:43:41.128654848,3593.0
1754-09-30 22:43:41.128654848,3603.0
1754-10-01 22:43:41.128654848,3622.0
1754-10-02 22:43:41.128654848,3630.0
1754-10-03 22:43:41.128654848,3642.0
1754-10-04 22:43:41.128654848,3635.0
1754-10-05 22:43:41.128654848,3645.0
1754-10-06 22:43:41.128654848,3636.0
1754-10-07 22:43:41.128654848,3649.0
1754-10-08 22:43:41.128654848,3674.0
1754-10-09 22:43:41.128654848,3672.0
1754-10-10 22:43:41.128654848,3665.0
1754-10-11 22:43:41.128654848,3688.0
1754-10-12 22:43:41.128654848,3681.0
1754-10-13 22:43:41.128654848,3693.0
1754-10-14 22:43:41.128654848,3698.0
1754-10-15 22:43:41.128654848,3662.0
1754-10-16 22:43:41.128654848,3625.0
1754-10-17 22:43:41.128654848,3643.0
1754-10-18 22:43:41.128654848,3648.0
1754-10-19 22:43:41.128654848,3640.0
1754-10-20 22:43:41.128654848,3664.0
1754-10-21 22:43:41.128654848,3662.0
1754-10-22 22:43:41.128654848,3684.0
1754-10-23 22:43:41.128654848,3678.0
1754-10-24 22:43:41.128654848,3711.0
1754-10-25 22:43:41.128654848,3704.0
1754-10-26 22:43:41.128654848,3685.0
1754-10-27 22:43:41.128654848,3694.0
1754-10-28 22:43:41.128654848,3670.0
1754-10-29 22:43:41.128654848,3674.0
1754-10-30 22:43:41.128654848,3688.0
1754-10-31 22:43:41.128654848,3686.0
1754-11-01 22:43:41.128654848,3684.0
1754-11-02 22:43:41.128654848,3678.0
1754-11-03 22:43:41.128654848,3684.0
1754-11-04 22:43:41.128654848,3697.0
1754-11-05 22:43:41.128654848,3702.0
1754-11-06 22:43:41.128654848,3704.0
1754-11-07 22:43:41.128654848,3710.0
1754-11-08 22:43:41.128654848,3719.0
1754-11-09 22:43:41.128654848,3734.0
1754-11-10 22:43:41.128654848,3730.0
1754-11-11 22:43:41.128654848,3741.0
1754-11-12 22:43:41.128654848,3764.0
1754-11-13 22:43:41.128654848,3743.0
1754-11-14 22:43:41.128654848,3717.0
1754-11-15 22:43:41.128654848,3726.0
1754-11-16 22:43:41.128654848,3752.0
1754-11-17 22:43:41.128654848,3755.0
1754-11-18 22:43:41.128654848,3745.0
1754-11-19 22:43:41.128654848,3762.0
1754-11-20 22:43:41.128654848,3758.0
1754-11-21 22:43:41.128654848,3776.0
1754-11-22 22:43:41.128654848,3794.0
1754-11-23 22:43:41.128654848,3776.0
1754-11-24 22:43:41.128654848,3757.0
1754-11-25 22:43:41.128654848,3784.0
1754-11-26 22:43:41.128654848,3799.0
1754-11-27 22:43:41.128654848,3804.0
1754-11-28 22:43:41.128654848,3821.0
1754-11-29 22:43:41.128654848,3866.0
1754-11-30 22:43:41.128654848,3850.0
