,elec
1956-01-01,1254.0
1956-02-01,1290.0
1956-03-01,1379.0
1956-04-01,1346.0
1956-05-01,1535.0
1956-06-01,1555.0
1956-07-01,1655.0
1956-08-01,1651.0
1956-09-01,1500.0
1956-10-01,1538.0
1956-11-01,1486.0
1956-12-01,1394.0
1957-01-01,1409.0
1957-02-01,1387.0
1957-03-01,1543.0
1957-04-01,1502.0
1957-05-01,1693.0
1957-06-01,1616.0
1957-07-01,1841.0
1957-08-01,1787.0
1957-09-01,1631.0
1957-10-01,1649.0
1957-11-01,1586.0
1957-12-01,1500.0
1958-01-01,1497.0
1958-02-01,1463.0
1958-03-01,1648.0
1958-04-01,1595.0
1958-05-01,1777.0
1958-06-01,1824.0
1958-07-01,1994.0
1958-08-01,1835.0
1958-09-01,1787.0
1958-10-01,1699.0
1958-11-01,1633.0
1958-12-01,1645.0
1959-01-01,1597.0
1959-02-01,1577.0
1959-03-01,1709.0
1959-04-01,1756.0
1959-05-01,1936.0
1959-06-01,2052.0
1959-07-01,2105.0
1959-08-01,2016.0
1959-09-01,1914.0
1959-10-01,1925.0
1959-11-01,1824.0
1959-12-01,1765.0
1960-01-01,1721.0
1960-02-01,1752.0
1960-03-01,1914.0
1960-04-01,1857.0
1960-05-01,2159.0
1960-06-01,2195.0
1960-07-01,2287.0
1960-08-01,2276.0
1960-09-01,2096.0
1960-10-01,2055.0
1960-11-01,2004.0
1960-12-01,1924.0
1961-01-01,1851.0
1961-02-01,1839.0
1961-03-01,2019.0
1961-04-01,1937.0
1961-05-01,2270.0
1961-06-01,2251.0
1961-07-01,2382.0
1961-08-01,2364.0
1961-09-01,2129.0
1961-10-01,2110.0
1961-11-01,2072.0
1961-12-01,1980.0
1962-01-01,1995.0
1962-02-01,1932.0
1962-03-01,2171.0
1962-04-01,2162.0
1962-05-01,2489.0
1962-06-01,2424.0
1962-07-01,2641.0
1962-08-01,2630.0
1962-09-01,2324.0
1962-10-01,2412.0
1962-11-01,2284.0
1962-12-01,2186.0
1963-01-01,2184.0
1963-02-01,2144.0
1963-03-01,2379.0
1963-04-01,2383.0
1963-05-01,2717.0
1963-06-01,2774.0
1963-07-01,3051.0
1963-08-01,2891.0
1963-09-01,2613.0
1963-10-01,2600.0
1963-11-01,2493.0
1963-12-01,2410.0
1964-01-01,2390.0
1964-02-01,2463.0
1964-03-01,2616.0
1964-04-01,2734.0
1964-05-01,2970.0
1964-06-01,3125.0
1964-07-01,3342.0
1964-08-01,3207.0
1964-09-01,2964.0
1964-10-01,2919.0
1964-11-01,2764.0
1964-12-01,2732.0
1965-01-01,2622.0
1965-02-01,2698.0
1965-03-01,2950.0
1965-04-01,2895.0
1965-05-01,3200.0
1965-06-01,3408.0
1965-07-01,3679.0
1965-08-01,3473.0
1965-09-01,3154.0
1965-10-01,3107.0
1965-11-01,3052.0
1965-12-01,2918.0
1966-01-01,2786.0
1966-02-01,2739.0
1966-03-01,3125.0
1966-04-01,3033.0
1966-05-01,3486.0
1966-06-01,3661.0
1966-07-01,3927.0
1966-08-01,3851.0
1966-09-01,3456.0
1966-10-01,3390.0
1966-11-01,3280.0
1966-12-01,3166.0
1967-01-01,3080.0
1967-02-01,3069.0
1967-03-01,3340.0
1967-04-01,3310.0
1967-05-01,3798.0
1967-06-01,3883.0
1967-07-01,4191.0
1967-08-01,4213.0
1967-09-01,3766.0
1967-10-01,3628.0
1967-11-01,3520.0
1967-12-01,3322.0
1968-01-01,3250.0
1968-02-01,3287.0
1968-03-01,3552.0
1968-04-01,3440.0
1968-05-01,4153.0
1968-06-01,4265.0
1968-07-01,4655.0
1968-08-01,4492.0
1968-09-01,4051.0
1968-10-01,3967.0
1968-11-01,3807.0
1968-12-01,3639.0
1969-01-01,3647.0
1969-02-01,3560.0
