,Model,Cylinders,Litres,Barrels,City,Highway,Cost,Carbon
20,Chevrolet Aveo,4.0,1.6,12.2,25.0,34.0,1012.0,6.6
21,Chevrolet Aveo 5,4.0,1.6,12.2,25.0,34.0,1012.0,6.6
27,Chevrolet Cobalt,4.0,2.2,12.7,24.0,33.0,1049.0,6.8
120,Chevrolet Colorado 2WD,4.0,2.9,17.1,18.0,24.0,1418.0,9.2
127,Chevrolet Colorado 2WD,5.0,3.7,18.0,17.0,23.0,1491.0,9.6
133,Chevrolet Colorado Cab Chassis inc 2WD,5.0,3.7,20.1,15.0,20.0,1667.0,10.8
121,Chevrolet Colorado Crew Cab 2WD,4.0,2.9,17.1,18.0,24.0,1418.0,9.2
128,Chevrolet Colorado Crew Cab 2WD,5.0,3.7,18.0,17.0,23.0,1491.0,9.6
95,Chevrolet HHR FWD,4.0,2.0,14.9,19.0,29.0,1233.0,8.0
96,Chevrolet HHR Panel FWD,4.0,2.0,14.9,19.0,29.0,1233.0,8.0
43,Chevrolet Malibu,4.0,2.4,13.2,22.0,33.0,1091.0,7.1
48,Chevrolet Malibu,4.0,2.4,13.7,22.0,30.0,1134.0,7.3
15,Chevrolet Malibu Hybrid,4.0,2.4,11.8,26.0,34.0,978.0,6.3
113,Chrysler PT Cruiser,4.0,2.4,16.3,19.0,24.0,1349.0,8.7
122,Chrysler PT Cruiser,4.0,2.4,16.3,18.0,24.0,1349.0,8.7
60,Chrysler Sebring,4.0,2.4,14.3,21.0,30.0,1182.0,7.7
74,Chrysler Sebring Convertible,4.0,2.4,14.9,20.0,29.0,1233.0,8.0
61,Dodge Avenger,4.0,2.4,14.3,21.0,30.0,1182.0,7.7
40,Dodge Caliber,4.0,2.0,14.3,23.0,27.0,1182.0,7.7
71,Dodge Caliber,4.0,2.4,14.9,21.0,25.0,1233.0,8.0
110,Dodge Journey 2WD,4.0,2.4,16.3,19.0,25.0,1349.0,8.7
79,Ford Escape FWD,4.0,2.5,14.9,20.0,28.0,1233.0,8.0
4,Ford Escape Hybrid FWD,4.0,2.5,10.7,34.0,31.0,887.0,5.7
28,Ford Focus FWD,4.0,2.0,12.7,24.0,33.0,1049.0,6.8
80,Ford Fusion FWD,4.0,2.3,14.9,20.0,28.0,1233.0,8.0
114,Ford Ranger Pickup 2WD,4.0,2.3,16.3,19.0,24.0,1349.0,8.7
123,GMC Canyon 2WD,4.0,2.9,17.1,18.0,24.0,1418.0,9.2
129,GMC Canyon 2WD,5.0,3.7,18.0,17.0,23.0,1491.0,9.6
134,GMC Canyon Cab Chassis Inc 2WD,5.0,3.7,20.1,15.0,20.0,1667.0,10.8
124,GMC Canyon Crew Cab 2WD,4.0,2.9,17.1,18.0,24.0,1418.0,9.2
130,GMC Canyon Crew Cab 2WD,5.0,3.7,18.0,17.0,23.0,1491.0,9.6
62,Honda Accord,4.0,2.4,14.3,21.0,30.0,1182.0,7.7
63,Honda Accord Coupe,4.0,2.4,14.3,21.0,30.0,1182.0,7.7
19,Honda Civic,4.0,1.8,11.8,25.0,36.0,978.0,6.3
2,Honda Civic Hybrid,4.0,1.3,8.2,40.0,45.0,675.0,4.4
88,Honda CR-V 2WD,4.0,2.4,14.9,20.0,27.0,1233.0,8.0
91,Honda Element 2WD,4.0,2.4,15.6,20.0,25.0,1290.0,8.3
11,Honda Fit,4.0,1.5,11.4,27.0,33.0,944.0,6.1
9,Honda Fit,4.0,1.5,11.0,28.0,35.0,916.0,5.9
13,Hyundai Accent,4.0,1.6,11.8,26.0,35.0,978.0,6.3
